Date,Close,High,P_H,Low,P_L,Signal,NIKKEI_returns,strategy_returns
2018-01-05,23714.529296875,23730.470703125,23648.962098289976,23520.51953125,23597.364928823205,0,0.00885715541550014,-0.00885715541550014
2018-01-09,23849.990234375,23952.609375,24001.25026342586,23789.029296875,23928.545548749407,1,0.005712149535173294,0.0
2018-01-10,23788.19921875,23864.759765625,23886.154059071014,23755.44921875,23769.942317623932,1,-0.002590819326036442,-0.002590819326036442
2018-01-11,23710.4296875,23734.970703125,23699.10549465508,23601.83984375,23561.98271848659,-1,-0.003269248358602206,-0.003269248358602206
2018-01-12,23653.8203125,23743.05078125,23763.32984338237,23588.0703125,23634.258535711764,1,-0.002387530540192806,0.002387530540192806
2018-01-15,23714.880859375,23833.26953125,23899.563268109476,23685.01953125,23770.820877610266,1,0.0025814243140560578,0.0025814243140560578
2018-01-16,23951.810546875,23962.0703125,23791.818338181158,23701.830078125,23644.51877224757,-1,0.009990760185764724,0.009990760185764724
2018-01-17,23868.33984375,23891.630859375,23801.473462060738,23739.169921875,23676.330216719783,-1,-0.0034849433599870583,0.0034849433599870583
2018-01-18,23763.369140625,24084.419921875,24133.863575104664,23699.470703125,24027.046446514694,1,-0.004397905502107502,0.004397905502107502
2018-01-19,23808.060546875,23872.689453125,23949.3617832009,23735.609375,23794.77731749991,1,0.0018806847625658651,0.0018806847625658651
2018-01-22,23816.330078125,23816.330078125,23850.60813517538,23697.810546875,23720.654935403167,1,0.0003473416590871192,0.0003473416590871192
2018-01-23,24124.150390625,24129.33984375,23971.31350537157,23916.01953125,23867.49283756674,-1,0.01292475841115115,0.01292475841115115
2018-01-24,23940.779296875,24072.76953125,24040.856938655223,23917.140625,23942.020560436657,0,-0.00760114204151463,0.00760114204151463
2018-01-25,23669.490234375,23828.400390625,23800.79838956021,23649.029296875,23645.79259278589,-1,-0.011331672170563412,-0.0
2018-01-26,23631.880859375,23797.9609375,23824.455371491225,23592.279296875,23679.04871254793,1,-0.0015889389516881014,0.0015889389516881014
